10, 10, 0, 10, #fff68f, 0
10, 12, 0, 10, #fff68f, 0
10, 14, 0, 10, #fff68f, 0
10, 16, 0, 10, #fff68f, 0
10, 10, 1, 10, #ff7f50, 1
5, 10, 1, 12, #ff7f50, 1
1, 11, 1, 13, #000000, 0
9, 12, 1, 13, #ff7f50, 1
10, 10, 1, 15, #ff7f50, 1
5, 10, 1, 17, #ff7f50, 1
7, 10, 2, 10, #ff7f50, 0
7, 10, 2, 15, #ff7f50, 0
1, 11, 2, 13, #000000, 0
10, 12, 2, 10, #ff7f50, 0
10, 14, 2, 10, #ff7f50, 0
10, 16, 2, 10, #ff7f50, 0
5, 10, 3, 10, #ff7f50, 1
0, 11, 3, 11, #6dc0ec, 0
4, 12, 3, 11, #ff7f50, 1
5, 10, 3, 12, #ff7f50, 1
1, 11, 3, 13, #000000, 0
9, 12, 3, 13, #ff7f50, 1
5, 10, 3, 15, #ff7f50, 1
0, 11, 3, 16, #6dc0ec, 0
4, 12, 3, 16, #ff7f50, 1
5, 10, 3, 17, #ff7f50, 1
10, 10, 4, 10, #ff7f50, 0
10, 12, 4, 10, #ff7f50, 0
10, 14, 4, 10, #ff7f50, 0
10, 16, 4, 10, #ff7f50, 0
10, 10, 5, 9, #971849, 1
10, 10, 5, 11, #971849, 1
10, 10, 5, 13, #971849, 1
10, 10, 5, 15, #971849, 1
10, 10, 5, 17, #971849, 1
10, 10, 6, 10, #971849, 0
10, 12, 6, 10, #971849, 0
10, 14, 6, 10, #971849, 0
10, 16, 6, 10, #971849, 0
10, 10, 7, 11, #971849, 1
10, 10, 7, 13, #971849, 1
10, 10, 7, 15, #971849, 1
8, 10, 8, 12, #971849, 0
8, 12, 8, 12, #971849, 0
8, 14, 8, 12, #971849, 0
8, 16, 8, 12, #971849, 0
10, 10, 9, 13, #971849, 1
